,nu_1,nu_2,nu_3,nu_4,nu_5,nu_6,nu_7,nu_8,nu_9,nu_10,nu_11,nu_12,nu_13,nu_14,nu_15,nu_16,nu_17,nu_18,nu_19,nu_20
66570,2.313626756150095e-11,1.3428103736758736e-06,0.0015226654996373693,0.009216461580904355,0.013513937744200044,0.01524221082993265,0.015140967859608554,0.014564368632026588,0.014191231857152209,0.014539934181811738,0.01555040197791975,0.01743768691989577,0.02036680822541333,0.024820392523310655,0.03155645663724633,0.042155548010580975,0.05981085455596345,0.09244142338528492,0.1651817242587045,0.43314986012110784
113435,6.659718944209949e-13,1.0688323589213223e-07,3.272884810481616e-05,0.0005895889646103865,0.0027868646616766145,0.0077562118762154455,0.012699111104844975,0.017505289393128495,0.022260467720252815,0.026880922103250594,0.03216761047955536,0.038144777773750006,0.04523955132532506,0.05358278999305487,0.0637215172943348,0.07630746782700808,0.09279231481319905,0.11583022533201481,0.15310285250786693,0.23900158476755692
115059,2.0806585442200107e-13,1.2926022623581363e-08,1.9544187683868536e-05,0.0007253846485544081,0.004288943214001217,0.011790159153747775,0.01813036065227989,0.02285465468809473,0.02668956764211739,0.02993837317051355,0.033045216163689016,0.03644731304599192,0.04053393660303234,0.04562631040136039,0.05214484964044578,0.06086757422193631,0.07325568714973266,0.0930007146899229,0.1325548193272972,0.31848992554127326
113408,3.632426140465971e-22,7.959408327091042e-12,4.574460345199057e-07,5.5607916218920744e-05,0.0004736087638820231,0.0013349186280769785,0.0026694780460704806,0.004761496747334443,0.007919549101453418,0.012330648360526823,0.018002487159150326,0.02490486908350941,0.03306161147423091,0.042681515129557694,0.05428719907598372,0.0689567008974749,0.08889894759135623,0.11940351401691908,0.17585138547041151,0.344807747604258
86385,7.089950626000168e-06,0.00011204553873652629,0.0004078033554809725,0.0004029267025664403,0.00026646404364097403,0.0001820614025414177,0.00014029342657095973,0.00011859254161915723,0.00011218946417281713,0.00011717824607874921,0.00013524947292622126,0.00017239471466758198,0.00024481025991651267,0.00039478254011787565,0.0007542271425259708,0.0018227451601631295,0.006105471994406975,0.024328784148502036,0.14665312487548748,0.817950110463434
119674,7.55619914635248e-20,8.339480731400733e-16,2.5342748685826732e-11,5.280263239438844e-08,9.253642950906468e-06,0.0001785839947912386,0.0011004763996183052,0.003620189783597433,0.008190817092444316,0.014728045187109618,0.02280356651195225,0.03194787444258946,0.04185970491654416,0.05253222610230918,0.06428817146694861,0.0778520389791079,0.09481502248458709,0.11865374832478487,0.1671956090361055,0.3006225593788619
117281,1.107960672682457e-25,9.355972801529537e-14,1.041763623672381e-09,1.3483666887191368e-06,8.310709645043381e-05,0.0007584598264257722,0.0025794512540712536,0.0058793589434989685,0.010652587639923744,0.016814127047618505,0.02407682482302581,0.032158479029406994,0.04090927347449225,0.05041687963228327,0.061047175133037604,0.07357622783077208,0.08952764666210969,0.1121149426281263,0.15153836514176816,0.328267537945953
31586,7.422283079999632e-09,1.9516325866580014e-06,0.0002361535183134293,0.0024971960597433896,0.006198757338236694,0.008534744429814459,0.0093807120140953,0.009096830736955379,0.008965491326901451,0.009145148876098616,0.009776421520587632,0.01094065130915451,0.012795605468454803,0.015621492771131458,0.01991813616315803,0.026629881657069403,0.03767558971617681,0.057836323680961144,0.1014970292465033,0.653662987310585
122598,2.951224457174211e-26,2.743338682930172e-16,1.0442399753265413e-10,7.332007766618761e-08,3.0933770638842594e-06,3.631608598295995e-05,0.00021107511179071568,0.0007907439270964611,0.0021507907609350473,0.004626468500928024,0.008345774089109985,0.013292111574020351,0.019429648189024054,0.026892379937880195,0.036121399337182065,0.04822445384750442,0.06576072682431301,0.0964444020704417,0.17045033311459634,0.5076218691110722
115892,1.094970432272672e-16,1.1728580634934388e-09,1.7396228428562904e-05,0.00016026101121794476,0.0009278654136551953,0.002096817175188377,0.003857764233538182,0.005830395642450107,0.008076047565095229,0.010781134034598119,0.014166062745544165,0.018459976517775024,0.023922555290281703,0.03100685676955404,0.04050069027033075,0.05379163532592312,0.07385869220021687,0.10701860805501488,0.17790452703110765,0.428028842519668
69363,4.528686714145376e-22,1.6629197398739041e-09,6.221203868782033e-07,7.178822355849521e-05,0.0005967848423427581,0.0015769145144634434,0.0030560978308171727,0.0053097904528475555,0.008624924957502278,0.013204014593204404,0.019096081288557304,0.026244609636862926,0.03464722957756951,0.04443901357275508,0.056094053262338996,0.07052964688354219,0.0899929919083841,0.1188380751767662,0.17687164726582205,0.33120510006860404
37534,7.936345453819712e-25,5.144445430959054e-14,6.931448170053789e-09,2.466576614789221e-06,0.00011239705690925165,0.0008315508565105799,0.0029040618365105964,0.006750563263193404,0.012054452979262328,0.018547978740708727,0.02586478121844,0.03383999266222198,0.04246589332412286,0.05195931003203092,0.06281397228717378,0.0758694153718844,0.09292134254374537,0.11722917752356123,0.16028997221519542,0.29594378867803295
116832,4.36891207043811e-18,5.239435034619326e-12,1.889897911098507e-07,1.7778816587795722e-05,0.0002533571598258653,0.0010778872112129872,0.0025613955813335245,0.004812758758090333,0.007912601751853517,0.01187240461340955,0.016671436097463736,0.022369588000967285,0.02908552167765382,0.0370971441707927,0.04693999143641109,0.0595917733992664,0.07718334362617715,0.10447042367766218,0.16216599968556475,0.41631887934947226
119732,2.3463617000973843e-10,4.449177862327935e-08,2.9984205632779044e-06,0.0001530077843015157,0.0016043183587982643,0.0048909899915243965,0.008400558592389104,0.011250243229134213,0.013251828597290034,0.015162811250888622,0.017218510776107906,0.019880820694326947,0.02349096679575824,0.028394241333277597,0.03532647982685557,0.04540584657224307,0.06145431584575708,0.09147324885404143,0.16688668672207646,0.45615748715224236
114172,1.5769630201354797e-22,8.504163901053955e-14,3.02978696812645e-09,1.7145412701144262e-06,4.5040123528844884e-05,0.00026737184170395244,0.000897734567001194,0.002198015913567788,0.004417473714303606,0.007692675011225435,0.012067448839191875,0.017556885141611116,0.024236800562101552,0.0323411395914796,0.04239814196307896,0.05545991152127383,0.0737223512017527,0.1024500407161072,0.16005012812131394,0.4645992107363849
36338,1.2836364321114495e-14,9.451648936348282e-10,1.3011819799962953e-06,7.823636555318412e-05,0.0010127143721074719,0.00449930141796408,0.00950931186193434,0.014578982698973746,0.020492091926353775,0.02663395641632765,0.033445622891277595,0.040661370713101413,0.04839532488338443,0.05680555147801065,0.06633782353918105,0.07766649002015906,0.09215080591797983,0.11251886471007981,0.14703906750627438,0.24857592034899142
64368,1.4691517275510274e-14,7.410606540299014e-10,1.6322171692300187e-06,0.0001837872673369813,0.0019395557199586683,0.00496066906046718,0.008584581499416802,0.01169498254538927,0.01455148117856022,0.017223697174308546,0.020250573041611677,0.023874578694577542,0.028325472096722867,0.03387885459033232,0.0409980602377591,0.050535320117647914,0.06424693907014717,0.08648848572433888,0.1345735082769194,0.4580914833171841
34585,6.308504555107937e-08,0.0006297203711079735,0.0023220802494223042,0.0019098371179175747,0.0012229242328451455,0.0008503152158318461,0.0006471616324549629,0.000552208289838975,0.0005252519496876175,0.000555135520201711,0.000647117148703962,0.0008292360995525389,0.0011660695835417254,0.0018040412393416911,0.003094659074058694,0.005974367435580705,0.013390232927811026,0.037104239506670904,0.1336815110086273,0.7935225261881139
8734,2.3825519148090555e-25,1.7620033453166122e-14,4.433723874806857e-09,4.832099524194244e-07,8.552658342329406e-06,7.191254047281266e-05,0.00032533035130175784,0.0010198609584062602,0.0025912092092925092,0.005577907369344493,0.010192505937779936,0.016351953861067196,0.023921598852376172,0.03291138892015781,0.043722445997463645,0.05718214340772541,0.07542538391235158,0.10257678467535443,0.15498225741785213,0.4735405335931395
